订单编号,房源编号,房间类型,面积,租客姓名,联系方式,入住日期,退房日期,租期,租金,押金,支付方式,状态
921de2fd-588f-4fd3-9ca7-c1ecbb39f60c,14076,一室一厅,47,李建军,13548780416,2023-01-07,2023-05-15,128,1288,1288,微信,取消
b2af9139-9d21-4d9c-b4f6-c1915fc30ae0,10856,两室一厅,109,周莹,13912608834,2022-11-20,2022-12-14,24,1017,1017,微信,取消
f1f39ff6-7f61-4606-b087-2bdec4ce9d21,10732,一室一厅,43,李桂花,15648491813,2022-09-14,2023-02-26,165,990,1980,微信,取消
da49c766-fd48-4265-b8a1-73a24ec58253,12187,两室两厅,70,郭建华,13615789541,2022-05-24,2022-12-14,204,1867,3734,现金,完成
7e0787af-a3e2-4a32-8a11-6d6d324c0292,10175,一室两厅,69,周明,18082209291,2023-04-19,2023-05-11,22,1630,3260,微信,取消
aecee7c9-4368-473e-b044-0c9909f84862,14295,两室一厅,100,孟琳,13740780162,2022-11-11,2023-04-09,149,1677,3354,支付宝,取消
f7be7fed-0cf0-428b-ac55-78e34dc6943f,18854,三室两厅,118,董彬,15641049418,2022-06-06,2023-04-19,317,4258,4258,支付宝,完成
6f5921d0-d3f9-4d9a-b2e6-efdbcc507378,14063,两室两厅,90,胡健,13049254614,2023-04-16,2023-04-26,10,2117,4234,微信,取消
e815a038-cbf5-40e4-a22f-8ed32496f8fa,19800,一室一厅,41,高博,15534027979,2022-11-02,2023-03-25,143,1123,2246,现金,完成
ca4da471-5b7d-4be0-b63c-98490ec84687,18324,两室一厅,75,盖桂英,15228196481,2022-12-16,2023-03-16,90,1800,3600,支付宝,完成
f22ede55-6642-480b-a7cb-527f8c4ab2e6,17382,一室一厅,40,车佳,15394266588,2022-05-24,2022-07-13,50,1088,2176,支付宝,取消
3467e4a4-128b-45c4-8444-ae0615a6e665,10819,两室两厅,102,朱彬,18950533836,2023-01-05,2023-02-16,42,1556,3112,现金,完成
c739921d-5412-4284-9090-a1745eaff586,11119,三室两厅,124,吉健,15700408050,2023-02-02,2023-04-17,74,3116,3116,现金,取消
f5b82e8b-5bb7-4a8f-97bd-7728b00862ca,12931,三室两厅,125,辛桂珍,15993143111,2023-01-29,2023-03-17,47,3500,7000,微信,完成
6803ba8d-e6af-4857-9449-5b34884a0c02,19752,一室一厅,42,袁桂荣,13850786974,2023-03-22,2023-03-25,3,1043,1043,微信,完成
6487e987-2ce1-47fb-ad21-d67894f1bdb6,16300,四室两厅,153,许雷,18975584526,2023-01-16,2023-04-05,79,6486,12972,支付宝,取消
94441621-c81f-4468-8477-c2ea95723a0a,16912,一室一厅,43,王桂花,18853651431,2023-04-04,2023-05-16,42,814,814,支付宝,完成
caed3f54-962d-4092-95d3-b6d2c9e1c424,11429,一室两厅,53,赵兰英,18547951477,2023-01-07,2023-02-13,37,1262,2524,微信,完成
46dd6c4b-22f8-4123-b769-c7760070f5d6,13272,三室两厅,116,彭凤兰,18260795406,2023-01-21,2023-03-14,52,4463,8926,支付宝,完成
fd52338a-ff8a-40df-a269-d01040ab7d96,10897,两室一厅,101,陈琴,15514129287,2023-03-24,2023-05-06,43,1736,1736,微信,取消
c0029f96-1ba5-4882-a0a5-68b4bb67524b,14664,一室两厅,64,蔡彬,18908214898,2022-07-21,2022-11-10,112,961,961,现金,完成
8ebd44bd-7a19-4301-9c87-83537f4cbc42,15715,四室两厅,142,鞠娟,15190505271,2023-01-08,2023-05-19,131,5378,5378,现金,取消
a96d384c-9c55-4a5c-ba93-d5b50fed2f92,13632,一室两厅,50,郭洁,18871675979,2022-05-21,2022-10-28,160,532,532,微信,完成
2e946e2d-f917-4553-9de5-a2ce2815c1ed,19954,三室两厅,128,曹秀荣,13876079234,2022-11-06,2022-12-15,39,4322,8644,微信,完成
199b75cb-782c-44a3-a91c-c75ff0dee64c,10915,两室两厅,108,周玉珍,18807125006,2022-08-01,2023-04-03,245,1549,1549,现金,完成
2be34ba9-108f-4401-a7de-d1860d90b18a,15325,四室两厅,157,李斌,18157553380,2023-02-04,2023-05-18,103,5874,11748,微信,取消
8c8aba75-90c1-4577-9b20-f7c236b3839f,17983,一室两厅,63,秦林,13445788302,2022-05-30,2022-07-14,45,1701,3402,支付宝,完成
5c66413d-46db-48ae-a0f1-d06d2e244b94,19962,三室两厅,128,杨斌,15276052750,2022-09-28,2022-10-05,7,3266,3266,支付宝,取消
25ea3ff3-6ade-4f86-a460-691ab5d5b979,15091,两室一厅,109,王莉,15103889188,2023-02-21,2023-04-18,56,1654,1654,现金,取消
411d72ec-6f2b-4d02-9927-8b88c79eb5e1,11475,三室两厅,123,田娟,15844871232,2022-06-18,2022-12-10,175,3205,3205,支付宝,取消
586b2438-0e68-4f62-9927-1245c4451032,14599,四室两厅,145,王璐,13729305598,2022-09-05,2022-09-16,11,5651,5651,支付宝,取消
11b57e07-50fa-4a8c-a7d9-5ce950f0cfd5,13299,四室两厅,142,郝兰英,15350904437,2023-04-05,2023-05-05,30,6241,12482,支付宝,完成
45c9e548-2c9f-45a6-a907-5f17650a0cf3,19125,两室一厅,104,韩秀兰,15547904273,2022-11-04,2023-02-09,97,1445,2890,微信,取消
cfa595e9-b201-401a-84b6-055825e4e8ec,19005,两室一厅,92,詹桂珍,14726343666,2022-09-18,2023-02-12,147,2049,2049,微信,完成
